Club Name,Category,Description,Google Drive Logo Link
DANCE CLUB,Cultural,Official dance club showcasing various styles,https://drive.google.com/file/d/142iMojo4cZbswpsCTmBn9AzvUqXeXl_b/view?usp=drive_link
Bhangra Club,Cultural,Celebrates Punjabi folk dance - Bhangra,https://drive.google.com/file/d/1kDx0lhIjxwecryz9xfRZH4XMJugnBLCv/view?usp=drive_link
MUSIC CLUB,Cultural,Musical performances and instrumental/vocal talent,https://drive.google.com/file/d/1ntE_PNPSbCeO3vkLh7qEfvYzwrXLp25g/view?usp=drive_link
LADC,Cultural,Literary and debating club,https://drive.google.com/file/d/1R38caUdMwP3e4V3fe9TUffUpiGCLjUvi/view?usp=drive_link
ZEAL,Cultural,Energertic students group for improving communication skills,https://drive.google.com/file/d/10BIcoL5Tgn2K4wcrzq7QdyEbPZhO54Gk/view?usp=drive_link
QUEST,Cultural,Quiz and entertainment society,https://drive.google.com/file/d/1XdckdYXs8bvbu-3jFM_Xy2hYLqUvHR1W/view?usp=drive_link
RAJBHASHA SAMITI,Cultural,Promotes Hindi language and literature,https://drive.google.com/file/d/1LBxfPKTe1yxsrIBxSEWOhbmCzMRi6Qv1/view?usp=drive_link
FINE ARTS SOCIETY,Cultural,"Art, painting, and creative expression",https://drive.google.com/file/d/1p_ow_g_YOKTvVwE6UqHCVY8cyoZsShqz/view?usp=drive_link
MOVIES,Cultural,Film appreciation and movie screenings,https://drive.google.com/file/d/17qjS9JDMf_fh6IIaXLKL3_pWjBZcIKuO/view?usp=drive_link
NETRA,Cultural,Photography and visual storytelling club,https://drive.google.com/file/d/1i66LcHohxv8XuWe2mVNR63mWhnsv8ny_/view?usp=drive_link
RAC,Social,objective of club is to uplift rural community,https://drive.google.com/file/d/1Z8e3WmSxEnh-q25rJVR2YPSI0alcLNr3/view?usp=drive_link
FASHION,Cultural,Fashion and style event club,https://drive.google.com/file/d/1buUkmPGdKDrpsL7a39sGAgpSiBHu9HGQ/view?usp=drive_link
SANSKRITI,Cultural,Promotes Indian traditions and festivals,https://drive.google.com/file/d/1HgXSJVhH5KgKEup8duCETgGhRqi8vyFh/view?usp=drive_link
Food& Flavour Club,Cultural,Culinary arts and food appreciation,https://drive.google.com/file/d/1zKGFkdFxVo3NPWBMxmVW_s4I6qRQ4iXJ/view?usp=drive_link
Google Developer Group on Campus NIT Jalandhar,Technical,Google tech community and developers,https://drive.google.com/file/d/1EleDZDcpqhcnYvLMxJKz_BGvGDnPJNpi/view?usp=sharing
Iota,Social,Coding and development club,https://drive.google.com/file/d/1HTyfmxdbwy4V9ZXY2arI0RHtuWMQGPcu/view?usp=drive_link
Computer Society Of Institute,Technical,Computer science technical club,https://drive.google.com/file/d/1tugBSAWX4yduZ28ZHPgKATxMH_mHvIfq/view?usp=drive_link
SocCer (civil department),Departmental,Civil Engineering society,https://drive.google.com/file/d/19Ntd1g5XyEghRhQzITxisgBj9aVKSj4K/view?usp=drive_link
SEED,Departmental,Society of Electrical Engineers,https://drive.google.com/file/d/1BuqZFH7UR40A0-29K2iIKjzS7pHgDi81/view?usp=drive_link
Chess Society,Cultural,Chess playing and competitions,https://drive.google.com/file/d/1pPKW9q1ddi79YJNrNuzWErzjxEeBUaAP/view?usp=drive_link
Texstyle,Departmental,Textile Engineering society,https://drive.google.com/file/d/14uG5Snz40MtD2rcxBULjowL_WPRPWUHc/view?usp=drive_link
Daksh,Technical,It is a club for automobile enthusiast,https://drive.google.com/file/d/1HfBVi5zPMKrsPMJ9SjKIebuvm7pKw3m8/view?usp=drive_link
R-Tist,Cultural,Fine arts and craft society,https://drive.google.com/file/d/1wRkldFJ4XupsdQ9nM48SOXZwIzraoWM0/view?usp=drive_link
Vortex,entertainment,Official gaming club by students in campus,https://drive.google.com/file/d/1ZfpsG4Cy_9MSq6wPyb3XwIzm9NrJMN-0/view?usp=drive_link
APOGEE,Departmental,Instrumentation and Control Engineering society,https://drive.google.com/file/d/1XuP8Yc9FUzfFlKt3TIIFlUYDS2qyylAo/view?usp=drive_link
