Event Name,Club Name,Date,Description,Image URL
HackNITJ,Google Developer Group on Campus NIT Jalandhar,7/7/25,12-hour coding sprint with cash prizes,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/SxX89XjkUDprcUf2VHar/pub/y2QZhFU7vQoiSFTu3hWi.jpg
Cultural Fest,SANSKRITI,7/8/25,"Dance, singing, theatre",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/SxX89XjkUDprcUf2VHar/pub/wM4QDe8Mt3IaWtqrovov.png
DANCE FEST,FREE STYLE,4/8/2025,ANY DANCE FORM,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/SxX89XjkUDprcUf2VHar/pub/FnnGgtt7cQnHXLVjGUwd.png
ART VERSE 2.0,ART CLUB,8/8/2025,ALL ART CATEGORIES ACCEPTED,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/SxX89XjkUDprcUf2VHar/pub/NEvVTTEO7roxUUKSflyZ.png
TECH-ATTACK,TECH CLUB,6/7/2025,CODING COMPITITION,https://images.pexels.com/photos/1148820/pexels-photo-1148820.jpeg
CodeRush,Coding Club,10th July 2025,6-hour problem-solving challenge with live leaderboard,https://sdmntpreastus2.oaiusercontent.com/files/00000000-6e38-61f6-a959-3a235e2d45f5/raw?se=2025-07-09T12%3A49%3A32Z&sp=r&sv=2024-08-04&sr=b&scid=8ddf632b-1ecc-5e20-940e-857431acccf1&skoid=b0fd38cc-3d33-418f-920e-4798de4acdd1&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-07-08T21%3A28%3A28Z&ske=2025-07-09T21%3A28%3A28Z&sks=b&skv=2024-08-04&sig=X8b/drbFsP3c0b6gBkPo3s/UzD4Go2CiYPlNfVHo0iM%3D
Rhythm Riot,Dance Society,12th July 2025,Group and solo dance battles across all styles,https://images.pexels.com/photos/2179373/pexels-photo-2179373.jpeg
Canvas Carnival,Fine Arts Society,14th July 2025,"Live art jam, doodle wars, and poster-making competitions",https://images.pexels.com/photos/16516/pexels-photo.jpg
Pitch Perfect,Literary & Debating Society,15th July 2025,Debate + elevator pitch showdown with judges from industry,https://images.pexels.com/photos/6077797/pexels-photo-6077797.jpeg
HackStreet,Developer Community,16th July 2025,Mini hackathon with surprise problem statements,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/SxX89XjkUDprcUf2VHar/pub/sTCxZvtKvQK1ksyaCJcF.jpg
Film Frame,Photography/Media Club,17th July 2025,Short film & photo story competition,https://images.pexels.com/photos/212372/pexels-photo-212372.jpeg
BeatVerse,Music Club,18th July 2025,Battle of the Bands + Solo Instrumental & Vocal categories,https://images.pexels.com/photos/33597/guitar-classical-guitar-acoustic-guitar-electric-guitar.jpg
Ganesh Pooja,SANSKRITI,10/7/25,Anyone can join us for the preparation of Ganesh Pooja,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/SxX89XjkUDprcUf2VHar/pub/NNv6jUBa9jFzTBBF51m0.jpg
,,,,
Bhangra Workshop ,Bhangra Club,2025-07-15T12:00:00.000Z,Bhangra steps workshop ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/SxX89XjkUDprcUf2VHar/pub/ydvUVfo0TkgjBdjVsL4C.jpg
